res_space_heating_kwh,res_space_cooling_kwh,res_heating_load_kwh,res_cooling_load_kwh,res_space_heating_mbtu,res_space_cooling_mbtu,fips,com_space_heating_kwh,com_space_cooling_kwh,com_space_heating_mbtu,com_space_cooling_mbtu,total_space_heating_kwh,total_space_heating_mbtu,total_space_cooling_kwh,total_space_cooling_mbtu
70697759.77002919,93962376.76108646,76771015.7350132,249602468.58144993,241230.79541722694,320612.97216632706,01053,3986318.0443587056,12013432.992979294,13601.883224514202,40991.539279530356,74684077.81438789,254832.6786417411,105975809.75406575,361604.5114458574
530756610.9997926,227338739.33722126,514464236.2630612,593120063.1152799,1811016.9241700543,775712.0607195848,01055,71756132.03940457,85872672.97001158,244842.111889198,293009.75409324124,602512743.0391972,2055859.0360592525,313211412.30723286,1068721.8148128262
43101434.13659766,40919081.24457766,44189705.68065905,107177849.41180152,147068.21367771862,139621.71571603572,01057,2767271.299844981,5939439.380348986,9442.322627595653,20266.21056614275,45868705.43644264,156510.53630531428,46858520.62492665,159887.92628217847
142922116.33286667,79045326.99552095,147927052.76925784,213498340.7452899,487670.55586826033,269713.8801451508,01059,4842598.147529265,7650012.597044576,16523.6325283068,26102.92928290487,147764714.48039594,504194.1883965672,86695339.59256552,295816.8094280557
50658914.963580266,65593208.39672596,58847108.47058602,184417637.49123922,172855.41142166068,223813.3412852213,01061,5332749.103462142,17686117.544186886,18196.09719138552,60347.54448945693,55991664.06704241,191051.50861304623,83279325.94091284,284160.8857746782
22620640.516612276,24126090.754116487,20180486.21578943,64947677.41551094,77184.83757363445,82321.64755793253,01063,264814.1010220235,1023111.7072001931,903.5833162894892,3491.002426829481,22885454.6176343,78088.42088992393,25149202.46131668,85812.64998476201
47493176.28832512,51208299.63191671,42881599.50489139,132689538.8809854,162053.46152679826,174729.98992264754,01065,83248.01313818032,128866.29056355555,284.05404204533687,439.71008241611156,47576424.301463306,162337.5155688436,51337165.92248026,175169.70000506364
50255569.257713005,63139853.1734767,50912182.107651226,183724910.33013237,171479.13859815136,215442.14488705315,01067,451742.44417218893,2011629.729629783,1541.409366942581,6863.9662889184265,50707311.70188519,173020.54796509395,65151482.90310649,222306.11117597157
191803017.5726239,262122268.1950289,210905687.6456996,714557788.4212369,654459.1319862881,894398.4004435223,01069,27417990.96451535,101983614.91138808,93554.07852564333,347982.57575097354,219221008.53713927,748013.2105119315,364105883.106417,1242380.9761944958
202735857.62643304,123615595.18661305,211624528.67643228,331781751.8698946,691763.5347131725,421793.96419124026,01071,11616475.982200125,17309828.971985653,39637.0655908563,59063.59444812907,214352333.60863316,731400.6003040287,140925424.15859872,480857.5586393693
2754814625.8519735,1484389900.5380213,2518369713.7835402,4146789182.0744176,9399818.687083805,5064949.124001605,01073,578801127.5614598,1152714497.0227287,1974951.6369998145,3933225.5493001277,3333615753.413433,11374770.324083619,2637104397.56075,8998174.673301732
66630737.87693096,41118696.21125686,69281941.11897805,105907636.7316322,227353.53920086694,140302.8303276704,01075,799806.3797738458,971097.8928324507,2729.05294029429,3313.5239062451037,67430544.2567048,230082.59214116127,42089794.10408931,143616.3542339155
445686289.7824807,216642130.4331011,440026225.1250272,618279924.9605374,1520744.9081909733,739213.7122202624,01077,46796933.66621888,55478050.01846232,159677.78283371942,189298.98454609606,492483223.4486996,1680422.6910246927,272120180.4515634,928512.6967663585
192529877.19000575,71151346.2851424,192818071.96489528,204010916.44845876,656939.2802148606,242778.49701607839,01079,12567764.866137689,5940450.787979052,42882.99834587279,20269.66163259642,205097642.05614343,699822.2785607333,77091797.07312146,263048.1586486748
